Cry_Audio_File,Cry_Reason,Amplitude_Envelope_Mean,RMS_Mean,ZCR_Mean,STFT_Mean,SC_Mean,SBAN_Mean,SCON_Mean,MFCCs13Mean,delMFCCs13,del2MFCCs13,MelSpec,MFCCs20,MFCCs1,MFCCs2,MFCCs3,MFCCs4,MFCCs5,MFCCs6,MFCCs7,MFCCs8,MFCCs9,MFCCs10,MFCCs11,MFCCs12,MFCCs13
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/999bf14b-e417-4b44-b746-9253f81efe38-1430974001343-1.7-m-26-bp.wav,0,0.028202115,0.011049677,0.0989900115352349,0.10238884,1264.335599246895,519.1011206437458,26.821806993216565,-48.27123,0.08218775,-0.0030100995,-52.58201,-31.961296,-606.60547,93.9349,-47.782738,-15.073559,10.004257,-30.088297,-18.766724,8.679635,-2.3520777,-7.7462444,-3.0962021,-4.7152734,-3.9180954
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548333-1.0-f-26-bp.wav,0,0.02107089,0.006950727,0.1153831229304635,0.050369333,1268.6087664409108,575.4575492212196,25.88131249452339,-49.861237,0.10137523,0.01890978,-55.12258,-32.50051,-628.12067,101.60248,-34.45939,-10.316871,-0.6070605,-25.927773,-4.430356,-4.6190925,-22.430754,-4.3032727,0.17262046,-11.258208,-3.4977849
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/d6cda191-4962-4308-9a36-46d5648a95ed-1431159262344-1.7-m-04-bp.wav,0,0.029967224,0.010904365,0.1166626806972789,0.10004214,1546.5782001227976,699.6266488662309,26.594714567728595,-49.541706,0.02360533,0.020593692,-50.736797,-31.240011,-585.09564,86.38556,-67.562416,-22.161522,2.0707543,-26.675592,3.2948687,7.7887993,-21.903955,-5.7445436,4.150358,-11.7187195,-6.870083
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,0,0.02716325,0.0105199395,0.0850805825745033,0.14076592,1089.4153278195622,668.8959514985646,25.608309568066048,-44.275997,-0.016075362,0.030941423,-47.15573,-29.790195,-538.0991,96.096985,-20.241573,-1.7045985,0.22628057,-29.814095,-14.937744,-11.162116,-21.503994,-7.5013094,-7.856627,-15.119538,-3.9704835
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,0,0.01666276,0.0065766405,0.0671079521937086,0.057628784,1017.6109317678302,700.6824103338755,28.19600976076448,-51.325264,0.02111214,0.012414595,-54.007328,-32.03135,-611.4486,68.68205,-8.392762,7.8121095,-9.09841,-34.050182,-9.673841,-11.780775,-24.962975,-7.6970654,-9.014325,-15.366213,-2.2374368
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,0,0.0029704391,0.0012635894,0.0997872257864238,0.0019303018,1257.2685559297256,609.5305017227303,28.7988464389424,-58.81048,0.02720424,0.019661294,-64.7685,-39.316048,-742.0144,77.35845,-24.530485,-9.814217,3.6504748,-14.802872,-9.125774,-7.5267324,-11.8113985,-3.2967782,-7.9349246,-12.195015,-2.4926345
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,0,0.014278668,0.004565232,0.0788396367963576,0.052025504,1020.3055224410584,517.4294951233494,23.41174595093984,-51.384373,0.018210273,0.016440207,-55.838116,-33.93086,-640.6875,54.92036,-16.62698,-2.2241478,0.66849214,-17.647436,-6.8076763,-2.6970747,-10.3327875,-4.9980917,-6.928677,-10.997031,-3.6383343
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/ae5f103b-5fee-442f-bb1b-d9d0570c46ab-1431533857965-1.7-m-26-bp.wav,0,0.032842148,0.012870769,0.0768912760416666,0.4716012,950.4350386817284,426.8362730592624,26.46658751517609,-41.619473,0.07042257,0.0054017655,-49.539783,-27.747023,-569.5228,60.464504,2.4425676,6.0190945,3.2930627,-12.152565,-2.9909332,2.4429195,-4.5108824,-3.9125195,-6.5329747,-10.49116,-5.601485
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/d6cda191-4962-4308-9a36-46d5648a95ed-1431159272600-1.7-m-04-bp.wav,0,0.036280937,0.012751014,0.1514069120762712,0.12144297,1713.3833867362146,618.998865790243,27.585936588787703,-48.444992,-0.04123995,0.00377662,-49.296646,-30.814884,-560.6789,90.63908,-86.53802,-26.359617,4.2128882,-32.291954,5.7466836,17.703714,-18.981352,-7.1394467,3.9792128,-12.288966,-7.788201
/Users/mac/Desktop/Smart_Cradle/donateacry_corpus_cleaned_and_updated_data/belly_pain/d6cda191-4962-4308-9a36-46d5648a95ed-1431700390946-1.7-m-04-bp.wav,0,0.1624547,0.05707175,0.1830011917372881,2.031869,2028.9623707098576,661.3243153059279,27.38766288956558,-37.93612,0.023648579,-0.008338299,-37.30288,-24.968128,-426.6486,89.48391,-112.769516,-3.7745447,30.078794,-42.075684,-0.85440063,15.597173,-31.172428,-9.682974,11.356677,-7.868112,-4.8398585
